,Geographic Area Name,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
3087,"Stafford Springs, CT Urban Cluster (2010)",64954
3088,"Stamford, TX Urban Cluster (2010)",44456
3089,"Stanford, KY Urban Cluster (2010)",41476
3090,"Stanley, WI Urban Cluster (2010)",45688
3091,"Stansbury Park, UT Urban Cluster (2010)",93750
3092,"Stanton, KY Urban Cluster (2010)",32000
3093,"Stanwood, WA Urban Cluster (2010)",75569
3094,"Staples, MN Urban Cluster (2010)",43409
3095,"Star, ID Urban Cluster (2010)",60842
3096,"Starke, FL Urban Cluster (2010)",31108
3097,"Starkville, MS Urban Cluster (2010)",28822
3098,"State College, PA Urbanized Area (2010)",54339
3099,"Statesboro, GA Urban Cluster (2010)",36905
3100,"Staunton, IL Urban Cluster (2010)",46373
3101,"Staunton&Waynesboro, VA Urbanized Area (2010)",49862
3102,"Stayton, OR Urban Cluster (2010)",64641
3103,"Steamboat Springs, CO Urban Cluster (2010)",82486
3104,"Steeleville, IL Urban Cluster (2010)",46574
3105,"Stephenville, TX Urban Cluster (2010)",46957
3106,"Sterling, CO Urban Cluster (2010)",49704
3107,"Sterling, IL Urban Cluster (2010)",47041
3108,"Stevens Point, WI Urban Cluster (2010)",53095
3109,"Stewartstown, PA Urban Cluster (2010)",88333
3110,"Stewartville, MN Urban Cluster (2010)",63607
3111,"Stigler, OK Urban Cluster (2010)",28500
3112,"Stillwater, OK Urban Cluster (2010)",32960
3113,"Stilwell, OK Urban Cluster (2010)",26455
3114,"Stockton, CA Urbanized Area (2010)",54790
3115,"Storm Lake, IA Urban Cluster (2010)",52692
3116,"Story City, IA Urban Cluster (2010)",72083
3117,"Strasburg, VA Urban Cluster (2010)",55299
3118,"Strawberry Plains, TN Urban Cluster (2010)",47437
3119,"Streator, IL Urban Cluster (2010)",42480
3120,"Stuarts Draft, VA Urban Cluster (2010)",64417
3121,"Sturgeon Bay, WI Urban Cluster (2010)",57128
3122,"Sturgis, MI Urban Cluster (2010)",43186
3123,"Sturgis, SD Urban Cluster (2010)",43220
3124,"Stuttgart, AR Urban Cluster (2010)",46156
3125,"Sugarmill Woods, FL Urban Cluster (2010)",53125
3126,"Sullivan, IL Urban Cluster (2010)",55688
3127,"Sullivan, IN Urban Cluster (2010)",43403
3128,"Sullivan, MO Urban Cluster (2010)",34663
3129,"Sullivan City, TX Urban Cluster (2010)",27138
3130,"Sulphur, OK Urban Cluster (2010)",43750
3131,"Sulphur Springs, TX Urban Cluster (2010)",45690
3132,"Sultan, WA Urban Cluster (2010)",75205
3133,"Sumiton, AL Urban Cluster (2010)",46615
3134,"Summersville, WV Urban Cluster (2010)",35938
3135,"Summerville, GA Urban Cluster (2010)",31732
3136,"Summit Park, UT Urban Cluster (2010)",134375
3137,"Sumter, SC Urbanized Area (2010)",45523
3138,"Sunbury, PA Urban Cluster (2010)",50247
3139,"Sun City Hilton Head, SC Urban Cluster (2010)",68723
3140,"Sunnyside, WA Urban Cluster (2010)",44112
3141,"Sunrise Shores, TX Urban Cluster (2010)",42110
3142,"Sunset, LA Urban Cluster (2010)",37379
3143,"Superior, AZ Urban Cluster (2010)",32961
3144,"Susanville, CA Urban Cluster (2010)",52439
3145,"Susquehanna Depot, PA Urban Cluster (2010)",41902
3146,"Sutherlin, OR Urban Cluster (2010)",45464
3147,"Swainsboro, GA Urban Cluster (2010)",26870
3148,"Swansboro, NC Urban Cluster (2010)",54469
3149,"Swanton, VT Urban Cluster (2010)",52321
3150,"Sweeny, TX Urban Cluster (2010)",59886
3151,"Sweet Home, OR Urban Cluster (2010)",44367
3152,"Sweetwater, TN Urban Cluster (2010)",41520
3153,"Sweetwater, TX Urban Cluster (2010)",42658
3154,"Sylacauga, AL Urban Cluster (2010)",32254
3155,"Sylvan Beach, NY Urban Cluster (2010)",65163
3156,"Sylvania, GA Urban Cluster (2010)",30114
3157,"Sylvester, GA Urban Cluster (2010)",31573
3158,"Syracuse, IN Urban Cluster (2010)",56507
3159,"Syracuse, NY Urbanized Area (2010)",58075
3160,"Tabor City, NC&SC Urban Cluster (2010)",30263
3161,"Taft, CA Urban Cluster (2010)",37893
3162,"Taft, TX Urban Cluster (2010)",30156
3163,"Tahlequah, OK Urban Cluster (2010)",38931
3164,"Tahoka, TX Urban Cluster (2010)",32096
3165,"Talladega, AL Urban Cluster (2010)",26707
3166,"Tallahassee, FL Urbanized Area (2010)",51566
3167,"Tallassee, AL Urban Cluster (2010)",27715
3168,"Tallulah, LA Urban Cluster (2010)",26652
3169,"Tama, IA Urban Cluster (2010)",46375
3170,"Tamaqua, PA Urban Cluster (2010)",38453
3171,"Tampa&St. Petersburg, FL Urbanized Area (2010)",55929
3172,"Taneytown, MD Urban Cluster (2010)",71250
3173,"Taos, NM Urban Cluster (2010)",32601
3174,"Tappahannock, VA Urban Cluster (2010)",36481
3175,"Tarboro, NC Urban Cluster (2010)",29604
3176,"Taylor, TX Urban Cluster (2010)",51621
3177,"Taylorsville, NC Urban Cluster (2010)",28576
3178,"Taylorville, IL Urban Cluster (2010)",42424
3179,"Tazewell, VA Urban Cluster (2010)",36406
3180,"Tea, SD Urban Cluster (2010)",83676
3181,"Teague, TX Urban Cluster (2010)",55375
3182,"Tehachapi&Golden Hills, CA Urban Cluster (2010)",60257
3183,"Tell City, IN&KY Urban Cluster (2010)",43547
3184,"Temple, TX Urbanized Area (2010)",56214
3185,"Terra Bella, CA Urban Cluster (2010)",21038
3186,"Terre Haute, IN Urbanized Area (2010)",40837
3187,"Terrell, TX Urban Cluster (2010)",46422
3188,"Texarkana&Texarkana, TX&AR Urbanized Area (2010)",42674
3189,"Texas City, TX Urbanized Area (2010)",58369
3190,"Thayer, MO&AR Urban Cluster (2010)",30363
3191,"The Dalles, OR&WA Urban Cluster (2010)",52018
3192,"Thermopolis, WY Urban Cluster (2010)",48636
3193,"Thief River Falls, MN Urban Cluster (2010)",50254
3194,"Thomaston, GA Urban Cluster (2010)",29905
3195,"Thomasville, AL Urban Cluster (2010)",29649
3196,"Thomasville, GA Urban Cluster (2010)",39125
3197,"Thomson, GA Urban Cluster (2010)",32888
3198,"Thousand Oaks, CA Urbanized Area (2010)",113362
3199,"Three Rivers, MI Urban Cluster (2010)",47459
3200,"Thurmont, MD Urban Cluster (2010)",77014
3201,"Ticonderoga, NY Urban Cluster (2010)",50231
3202,"Tiffin, OH Urban Cluster (2010)",41101
3203,"Tifton, GA Urban Cluster (2010)",40485
3204,"Tillamook, OR Urban Cluster (2010)",45000
3205,"Tipton, CA Urban Cluster (2010)",33894
3206,"Tipton, IN Urban Cluster (2010)",52667
3207,"Tipton, IA Urban Cluster (2010)",63997
3208,"Tipton, MO Urban Cluster (2010)",42639
3209,"Titusville, FL Urbanized Area (2010)",48453
3210,"Titusville, PA Urban Cluster (2010)",35810
3211,"Toccoa, GA Urban Cluster (2010)",44239
3212,"Toledo, OH&MI Urbanized Area (2010)",51112
3213,"Toledo, OR Urban Cluster (2010)",60155
3214,"Tomah, WI Urban Cluster (2010)",49625
3215,"Tomahawk, WI Urban Cluster (2010)",48828
3216,"Tonganoxie, KS Urban Cluster (2010)",72469
3217,"Tonkawa, OK Urban Cluster (2010)",45640
3218,"Tooele, UT Urban Cluster (2010)",63117
3219,"Topeka, KS Urbanized Area (2010)",52159
3220,"Toppenish, WA Urban Cluster (2010)",49704
3221,"Tornillo, TX Urban Cluster (2010)",42000
3222,"Torrington, CT Urban Cluster (2010)",61694
3223,"Torrington, WY Urban Cluster (2010)",49106
3224,"Towanda, PA Urban Cluster (2010)",39621
3225,"Tracy, CA Urbanized Area (2010)",92547
3226,"Traverse City, MI Urban Cluster (2010)",56526
3227,"Treasure Lake, PA Urban Cluster (2010)",83200
3228,"Tremonton, UT Urban Cluster (2010)",52655
3229,"Trenton, FL Urban Cluster (2010)",33964
3230,"Trenton, GA Urban Cluster (2010)",33675
3231,"Trenton, IL Urban Cluster (2010)",61607
3232,"Trenton, MO Urban Cluster (2010)",37695
3233,"Trenton, NJ Urbanized Area (2010)",73102
3234,"Trenton, TN Urban Cluster (2010)",27823
3235,"Tri-City&Myrtle Creek, OR Urban Cluster (2010)",45083
3236,"Trinidad, CO Urban Cluster (2010)",36250
3237,"Trinity, TX Urban Cluster (2010)",31815
3238,"Troy, AL Urban Cluster (2010)",27914
3239,"Troy, MO Urban Cluster (2010)",52794
3240,"Troy, NC Urban Cluster (2010)",26122
3241,"Truckee, CA Urban Cluster (2010)",93500
3242,"Trumann, AR Urban Cluster (2010)",41077
3243,"Truth or Consequences, NM Urban Cluster (2010)",27873
3244,"Tuba City, AZ Urban Cluster (2010)",47475
3245,"Tucson, AZ Urbanized Area (2010)",51536
3246,"Tucumcari, NM Urban Cluster (2010)",26103
3247,"Tularosa, NM Urban Cluster (2010)",40962
3248,"Tulia, TX Urban Cluster (2010)",31389
3249,"Tullahoma, TN Urban Cluster (2010)",45315
3250,"Tulsa, OK Urbanized Area (2010)",55695
3251,"Tunica, MS Urban Cluster (2010)",34080
3252,"Tunkhannock, PA Urban Cluster (2010)",48854
3253,"Tupelo, MS Urban Cluster (2010)",45974
3254,"Tupper Lake, NY Urban Cluster (2010)",53059
3255,"Turlock, CA Urbanized Area (2010)",59203
3256,"Tuscaloosa, AL Urbanized Area (2010)",50726
3257,"Tuscola, IL Urban Cluster (2010)",56219
3258,"Tuskegee, AL Urban Cluster (2010)",26310
3259,"Tuttle, OK Urban Cluster (2010)",86467
3260,"Twentynine Palms, CA Urban Cluster (2010)",43268
3261,"Twentynine Palms Base, CA Urban Cluster (2010)",44113
3262,"Twin Falls, ID Urban Cluster (2010)",51367
3263,"Twin Lakes, VA Urban Cluster (2010)",62241
3264,"Twin Rivers&Hightstown, NJ Urbanized Area (2010)",116509
3265,"Two Harbors, MN Urban Cluster (2010)",55906
3266,"Tybee Island, GA Urban Cluster (2010)",81223
3267,"Tyler, TX Urbanized Area (2010)",53806
3268,"Tyrone, PA Urban Cluster (2010)",43837
3269,"Ukiah, CA Urban Cluster (2010)",51138
3270,"Ulysses, KS Urban Cluster (2010)",49978
3271,"Unadilla, GA Urban Cluster (2010)",33804
3272,"Union, MO Urban Cluster (2010)",52510
3273,"Union, SC Urban Cluster (2010)",34109
3274,"Union City, IN&OH Urban Cluster (2010)",31271
3275,"Union City, PA Urban Cluster (2010)",47566
3276,"Union City, TN Urban Cluster (2010)",26940
3277,"Union Grove, WI Urban Cluster (2010)",68750
3278,"Union Springs, AL Urban Cluster (2010)",21095
3279,"Uniontown&Connellsville, PA Urbanized Area (2010)",43559
3280,"Upland, IN Urban Cluster (2010)",57740
3281,"Upper Greenwood Lake, NJ Urban Cluster (2010)",92194
3282,"Upper Sandusky, OH Urban Cluster (2010)",45101
3283,"Urbana, OH Urban Cluster (2010)",45453
3284,"Urban Honolulu, HI Urbanized Area (2010)",83580
3285,"Utica, NY Urbanized Area (2010)",50208
3286,"Uvalde, TX Urban Cluster (2010)",41310
3287,"Vacaville, CA Urbanized Area (2010)",86727
3288,"Vado, NM Urban Cluster (2010)",35306
3289,"Vail, AZ Urban Cluster (2010)",95023
3290,"Vail, CO Urban Cluster (2010)",84076
3291,"Valatie, NY Urban Cluster (2010)",73594
3292,"Valdosta, GA Urbanized Area (2010)",37641
3293,"Valentine, NE Urban Cluster (2010)",52974
3294,"Vallejo, CA Urbanized Area (2010)",75692
3295,"Valley City, ND Urban Cluster (2010)",46509
3296,"Valley&Lanett, AL&GA Urban Cluster (2010)",42543
3297,"Van, TX Urban Cluster (2010)",48661
3298,"Vandalia, IL Urban Cluster (2010)",36206
3299,"Vandalia, MO Urban Cluster (2010)",40650
3300,"Vandenberg AFB, CA Urban Cluster (2010)",67457
3301,"Van Wert, OH Urban Cluster (2010)",44691
3302,"Vassar, MI Urban Cluster (2010)",37750
3303,"Veneta, OR Urban Cluster (2010)",51745
3304,"Venus, TX Urban Cluster (2010)",62934
3305,"Vergennes, VT Urban Cluster (2010)",64205
3306,"Vermillion, SD Urban Cluster (2010)",40511
3307,"Vernal, UT Urban Cluster (2010)",63117
3308,"Vernon, TX Urban Cluster (2010)",42122
3309,"Versailles, KY Urban Cluster (2010)",59186
3310,"Versailles, OH Urban Cluster (2010)",62721
3311,"Vicksburg, MS&LA Urban Cluster (2010)",37788
3312,"Victoria, TX Urbanized Area (2010)",53181
3313,"Victorville&Hesperia, CA Urbanized Area (2010)",54541
3314,"Vidalia, GA Urban Cluster (2010)",31768
3315,"Vienna, GA Urban Cluster (2010)",26428
3316,"Vieques (Vieques Municipio), PR Urban Cluster (2010)",15373
3317,"Village of Four Seasons, MO Urban Cluster (2010)",66607
3318,"Village of Oak Creek (Big Park), AZ Urban Cluster (2010)",58289
3319,"Villas, NJ Urbanized Area (2010)",59802
3320,"Ville Platte, LA Urban Cluster (2010)",20799
3321,"Vincennes, IN Urban Cluster (2010)",40803
3322,"Vineland, NJ Urbanized Area (2010)",54433
3323,"Vineyard Haven, MA Urban Cluster (2010)",64956
3324,"Vinita, OK Urban Cluster (2010)",39203
3325,"Vinton, IA Urban Cluster (2010)",47557
3326,"Vinton, LA Urban Cluster (2010)",38965
3327,"Virden, IL Urban Cluster (2010)",52418
3328,"Virginia, MN Urban Cluster (2010)",40840
3329,"Virginia Beach, VA Urbanized Area (2010)",65162
3330,"Viroqua, WI Urban Cluster (2010)",38298
3331,"Visalia, CA Urbanized Area (2010)",56431
3332,"Vistancia, AZ Urban Cluster (2010)",102852
3333,"Vivian, LA Urban Cluster (2010)",29100
3334,"Wabash, IN Urban Cluster (2010)",45064
3335,"Waco, TX Urbanized Area (2010)",44278
3336,"Waconia, MN Urban Cluster (2010)",98984
3337,"Wadena, MN Urban Cluster (2010)",38676
3338,"Wadesboro, NC Urban Cluster (2010)",27061
3339,"Wagoner, OK Urban Cluster (2010)",35021
3340,"Wahoo, NE Urban Cluster (2010)",57246
3341,"Wahpeton, ND&MN Urban Cluster (2010)",47891
3342,"Waikoloa Village, HI Urban Cluster (2010)",75038
3343,"Waimea (Hawaii County), HI Urban Cluster (2010)",87286
3344,"Walden, NY Urban Cluster (2010)",74643
3345,"Waldorf, MD Urbanized Area (2010)",98820
3346,"Waldport, OR Urban Cluster (2010)",45682
3347,"Waldron, AR Urban Cluster (2010)",29423
3348,"Walkerton, IN Urban Cluster (2010)",47183
3349,"Wallace, NC Urban Cluster (2010)",36987
3350,"Walla Walla, WA&OR Urbanized Area (2010)",53218
3351,"Walnut Ridge, AR Urban Cluster (2010)",36625
3352,"Walsenburg, CO Urban Cluster (2010)",29236
3353,"Walterboro, SC Urban Cluster (2010)",32373
3354,"Walters, OK Urban Cluster (2010)",36522
3355,"Walton, NY Urban Cluster (2010)",34969
3356,"Walworth, NY Urban Cluster (2010)",86833
3357,"Walworth, WI Urban Cluster (2010)",59224
3358,"Wamego, KS Urban Cluster (2010)",60193
3359,"Wapakoneta, OH Urban Cluster (2010)",58333
3360,"Wapato, WA Urban Cluster (2010)",44275
3361,"Warden, WA Urban Cluster (2010)",38833
3362,"Ware, MA Urban Cluster (2010)",45114
3363,"Warner Robins, GA Urbanized Area (2010)",58097
3364,"Warren, AR Urban Cluster (2010)",38524
3365,"Warren, PA Urban Cluster (2010)",45567
3366,"Warrensburg, MO Urban Cluster (2010)",46211
3367,"Warrensburg, NY Urban Cluster (2010)",50952
3368,"Warrenton, MO Urban Cluster (2010)",40295
3369,"Warsaw, IN Urban Cluster (2010)",60113
3370,"Warsaw, MO Urban Cluster (2010)",30909
3371,"Warsaw, NY Urban Cluster (2010)",43969
3372,"Warsaw, NC Urban Cluster (2010)",25724
3373,"Warwick, NY Urban Cluster (2010)",82763
3374,"Wasco, CA Urban Cluster (2010)",38545
3375,"Waseca, MN Urban Cluster (2010)",45907
3376,"Washington, DC&VA&MD Urbanized Area (2010)",105149
3377,"Washington, GA Urban Cluster (2010)",24898
3378,"Washington, IN Urban Cluster (2010)",43679
3379,"Washington, IA Urban Cluster (2010)",53461
3380,"Washington, MO Urban Cluster (2010)",60422
3381,"Washington, NJ Urban Cluster (2010)",74761
3382,"Washington, NC Urban Cluster (2010)",33926
3383,"Washington Court House, OH Urban Cluster (2010)",42514
3384,"Washoe Valley, NV Urban Cluster (2010)",61750
3385,"Watchtower, NY Urban Cluster (2010)",62464
3386,"Waterbury, CT Urbanized Area (2010)",57805
3387,"Waterbury, VT Urban Cluster (2010)",56250
3388,"Waterford, CA Urban Cluster (2010)",57854
3389,"Waterloo, IL Urban Cluster (2010)",64335
3390,"Waterloo, IA Urbanized Area (2010)",50942
3391,"Waterloo, WI Urban Cluster (2010)",70714
3392,"Watertown, MN Urban Cluster (2010)",83229
3393,"Watertown, NY Urbanized Area (2010)",43469
3394,"Watertown, SD Urban Cluster (2010)",50711
3395,"Watertown, WI Urban Cluster (2010)",52038
3396,"Water Valley, MS Urban Cluster (2010)",42691
3397,"Waterville, ME Urban Cluster (2010)",41284
3398,"Watkins Glen, NY Urban Cluster (2010)",40321
3399,"Watonga, OK Urban Cluster (2010)",42666
3400,"Watseka, IL Urban Cluster (2010)",40147
3401,"Watsonville, CA Urbanized Area (2010)",59225
3402,"Wauchula, FL Urban Cluster (2010)",35634
3403,"Waukon, IA Urban Cluster (2010)",45904
3404,"Waupaca, WI Urban Cluster (2010)",53632
3405,"Waupun, WI Urban Cluster (2010)",56212
3406,"Wausau, WI Urbanized Area (2010)",55568
3407,"Wauseon, OH Urban Cluster (2010)",54789
3408,"Wautoma, WI Urban Cluster (2010)",39732
3409,"Waverly, IA Urban Cluster (2010)",63650
3410,"Waverly, NE Urban Cluster (2010)",80104
3411,"Waverly, TN Urban Cluster (2010)",36359
3412,"Waverly City, OH Urban Cluster (2010)",43327
3413,"Waycross, GA Urban Cluster (2010)",32415
3414,"Wayland, MI Urban Cluster (2010)",54375
3415,"Wayne, NE Urban Cluster (2010)",39620
3416,"Waynesboro, GA Urban Cluster (2010)",28158
3417,"Waynesboro, MS Urban Cluster (2010)",26114
3418,"Waynesboro, PA&MD Urban Cluster (2010)",54246
3419,"Waynesburg, PA Urban Cluster (2010)",44978
3420,"Weatherford, OK Urban Cluster (2010)",44080
3421,"Weatherford, TX Urban Cluster (2010)",72525
3422,"Webster City, IA Urban Cluster (2010)",56540
3423,"Wedgefield, FL Urban Cluster (2010)",77885
3424,"Weedsport, NY Urban Cluster (2010)",54801
3425,"Weirton&Steubenville, WV&OH&PA Urbanized Area (2010)",45151
3426,"Weiser, ID&OR Urban Cluster (2010)",37527
3427,"Welch, WV Urban Cluster (2010)",35872
3428,"Wellington, CO Urban Cluster (2010)",91461
3429,"Wellington, KS Urban Cluster (2010)",43796
3430,"Wellington, OH Urban Cluster (2010)",48333
3431,"Wellsville, NY Urban Cluster (2010)",43786
3432,"Welsh, LA Urban Cluster (2010)",30469
3433,"Wenatchee, WA Urbanized Area (2010)",59887
3434,"Wendell, ID Urban Cluster (2010)",42284
3435,"Wendell&Zebulon, NC Urban Cluster (2010)",55094
3436,"West, TX Urban Cluster (2010)",47563
3437,"West Bend, WI Urbanized Area (2010)",64773
3438,"West Columbia, TX Urban Cluster (2010)",75487
3439,"Westernport, MD&WV Urban Cluster (2010)",40996
3440,"Westfield, NY Urban Cluster (2010)",38504
3441,"West Frankfort, IL Urban Cluster (2010)",30736
3442,"West Jefferson, OH Urban Cluster (2010)",60160
3443,"West Lafayette, OH Urban Cluster (2010)",37847
3444,"West Liberty, IA Urban Cluster (2010)",54250
3445,"Westminster&Eldersburg, MD Urbanized Area (2010)",97720
3446,"Weston, WV Urban Cluster (2010)",34742
3447,"Weston Lakes, TX Urban Cluster (2010)",165136
3448,"West Plains, MO Urban Cluster (2010)",34728
3449,"West Point, MS Urban Cluster (2010)",28863
3450,"West Point, NE Urban Cluster (2010)",47872
3451,"West Point, NY Urban Cluster (2010)",98904
3452,"West Point, VA Urban Cluster (2010)",69775
3453,"West Tawakoni, TX Urban Cluster (2010)",46750
3454,"West Union, OH Urban Cluster (2010)",25652
3455,"Westville, IN Urban Cluster (2010)",47639
3456,"West Wendover, NV&UT Urban Cluster (2010)",57238
3457,"Wetumpka, AL Urban Cluster (2010)",43418
3458,"Wewoka, OK Urban Cluster (2010)",28313
3459,"Weyers Cave, VA Urban Cluster (2010)",57443
3460,"Wharton, TX Urban Cluster (2010)",39592
3461,"Wheatland, CA Urban Cluster (2010)",74583
3462,"Wheatland, WY Urban Cluster (2010)",60069
3463,"Wheeling, WV&OH Urbanized Area (2010)",45249
3464,"Whispering Pines, NC Urban Cluster (2010)",76860
3465,"Whitefish, MT Urban Cluster (2010)",51468
3466,"White Hall, IL Urban Cluster (2010)",38576
3467,"Whitehall, MI Urban Cluster (2010)",53655
3468,"Whiteman AFB, MO Urban Cluster (2010)",50800
3469,"White Pine, TN Urban Cluster (2010)",35571
3470,"Whiteriver, AZ Urban Cluster (2010)",29787
3471,"White Rock, NM Urban Cluster (2010)",133125
3472,"Whitesboro, TX Urban Cluster (2010)",58971
3473,"White Sulphur Springs, WV Urban Cluster (2010)",42019
3474,"Whiteville, NC Urban Cluster (2010)",32816
3475,"Whitewater, WI Urban Cluster (2010)",35871
3476,"Wichita, KS Urbanized Area (2010)",55200
3477,"Wichita Falls, TX Urbanized Area (2010)",47666
3478,"Wickenburg, AZ Urban Cluster (2010)",49167
3479,"Wiggins, MS Urban Cluster (2010)",34286
3480,"Wilburton, OK Urban Cluster (2010)",29713
3481,"Willard, MO Urban Cluster (2010)",58860
3482,"Willard, OH Urban Cluster (2010)",42132
3483,"Willcox, AZ Urban Cluster (2010)",36369
3484,"Williams, AZ Urban Cluster (2010)",42154
3485,"Williams, CA Urban Cluster (2010)",65446
3486,"Williamsburg, IA Urban Cluster (2010)",71758
3487,"Williamsburg, KY Urban Cluster (2010)",31843
3488,"Williamsburg, VA Urbanized Area (2010)",85468
3489,"Williamson, WV&KY Urban Cluster (2010)",26781
3490,"Williamsport, PA Urbanized Area (2010)",47206
3491,"Williamston, MI Urban Cluster (2010)",73125
3492,"Williamston, NC Urban Cluster (2010)",32170
3493,"Williamstown, KY Urban Cluster (2010)",36455
3494,"Williamstown, PA Urban Cluster (2010)",51270
3495,"Willimantic, CT Urban Cluster (2010)",47474
3496,"Williston, FL Urban Cluster (2010)",34125
3497,"Williston, ND Urban Cluster (2010)",78150
3498,"Willits, CA Urban Cluster (2010)",40409
3499,"Willmar, MN Urban Cluster (2010)",48536
3500,"Willows, CA Urban Cluster (2010)",45192
3501,"Wills Point, TX Urban Cluster (2010)",34727
3502,"Wilmington, NC Urbanized Area (2010)",56113
3503,"Wilmington, OH Urban Cluster (2010)",36080
3504,"Wilmore, KY Urban Cluster (2010)",49479
3505,"Wilson, NC Urban Cluster (2010)",42007
3506,"Wilton, IA Urban Cluster (2010)",52381
3507,"Winamac, IN Urban Cluster (2010)",39798
3508,"Winchester, IN Urban Cluster (2010)",44464
3509,"Winchester, KY Urban Cluster (2010)",51239
3510,"Winchester, TN Urban Cluster (2010)",49410
3511,"Winchester, VA Urbanized Area (2010)",69649
3512,"Winder, GA Urban Cluster (2010)",59228
3513,"Windom, MN Urban Cluster (2010)",45372
3514,"Window Rock, AZ&NM Urban Cluster (2010)",34079
3515,"Windsor, MO Urban Cluster (2010)",40045
3516,"Windsor, NC Urban Cluster (2010)",34181
3517,"Windsor, VT&NH Urban Cluster (2010)",43750
3518,"Winfield, KS Urban Cluster (2010)",45704
3519,"Winneconne, WI Urban Cluster (2010)",71964
3520,"Winnemucca, NV Urban Cluster (2010)",68693
3521,"Winner, SD Urban Cluster (2010)",57878
3522,"Winnfield, LA Urban Cluster (2010)",27405
3523,"Winnie, TX Urban Cluster (2010)",31401
3524,"Winnsboro, LA Urban Cluster (2010)",19164
3525,"Winnsboro, SC Urban Cluster (2010)",28853
3526,"Winnsboro, TX Urban Cluster (2010)",45262
3527,"Winona, MN Urban Cluster (2010)",48894
3528,"Winona, MS Urban Cluster (2010)",41110
3529,"Winslow, AZ Urban Cluster (2010)",37078
3530,"Winston-Salem, NC Urbanized Area (2010)",50847
3531,"Winter Haven, FL Urbanized Area (2010)",46466
3532,"Winters, CA Urban Cluster (2010)",85861
3533,"Winters, TX Urban Cluster (2010)",34018
3534,"Winterset, IA Urban Cluster (2010)",52835
3535,"Wisconsin Rapids, WI Urban Cluster (2010)",48579
3536,"Wolf Point, MT Urban Cluster (2010)",37167
3537,"Wonder Lake, IL Urban Cluster (2010)",83359
3538,"Woodburn, OR Urban Cluster (2010)",55833
3539,"Woodbury, TN Urban Cluster (2010)",36402
3540,"Woodcreek, TX Urban Cluster (2010)",67016
3541,"Woodlake, CA Urban Cluster (2010)",37614
3542,"Woodland, CA Urbanized Area (2010)",69639
3543,"Woodland, WA Urban Cluster (2010)",62455
3544,"Woodland Park, CO Urban Cluster (2010)",69653
3545,"Woodruff, SC Urban Cluster (2010)",31250
3546,"Woodstock, AL Urban Cluster (2010)",77143
3547,"Woodstock, IL Urban Cluster (2010)",61616
3548,"Woodstock, VA Urban Cluster (2010)",45523
3549,"Woodstown, NJ Urban Cluster (2010)",70694
3550,"Woodville, FL Urban Cluster (2010)",26013
3551,"Woodville, TX Urban Cluster (2010)",40110
3552,"Woodward, OK Urban Cluster (2010)",53469
3553,"Wooster, OH Urban Cluster (2010)",49005
3554,"Worcester, MA&CT Urbanized Area (2010)",67927
3555,"Worland, WY Urban Cluster (2010)",48939
3556,"World Golf Village, FL Urban Cluster (2010)",101243
3557,"Worthington, MN Urban Cluster (2010)",48424
3558,"Wright City, MO Urban Cluster (2010)",68625
3559,"Wrightstown, WI Urban Cluster (2010)",71331
3560,"Wrightsville, GA Urban Cluster (2010)",26570
3561,"Wrightwood, CA Urban Cluster (2010)",64952
3562,"Wurtsboro, NY Urban Cluster (2010)",65814
3563,"Wynne, AR Urban Cluster (2010)",42536
3564,"Wytheville, VA Urban Cluster (2010)",39058
3565,"Yadkinville, NC Urban Cluster (2010)",40491
3566,"Yakima, WA Urbanized Area (2010)",49620
3567,"Yankton, SD Urban Cluster (2010)",50818
3568,"Yauco, PR Urbanized Area (2010)",15857
3569,"Yazoo City, MS Urban Cluster (2010)",24723
3570,"Yellow Springs, OH Urban Cluster (2010)",59018
3571,"Yelm, WA Urban Cluster (2010)",61219
3572,"Yerington, NV Urban Cluster (2010)",32778
3573,"Yoakum, TX Urban Cluster (2010)",41395
3574,"York, NE Urban Cluster (2010)",55089
3575,"York, PA Urbanized Area (2010)",61367
3576,"York, SC Urban Cluster (2010)",40952
3577,"Yorkville, GA Urban Cluster (2010)",47620
3578,"Youngstown, OH&PA Urbanized Area (2010)",42614
3579,"Youngsville, PA Urban Cluster (2010)",42331
3580,"Yountville, CA Urban Cluster (2010)",69300
3581,"Yreka, CA Urban Cluster (2010)",42547
3582,"Yuba City, CA Urbanized Area (2010)",54254
3583,"Yucca Valley, CA Urban Cluster (2010)",43209
3584,"Yulee, FL Urban Cluster (2010)",64947
3585,"Yuma, AZ&CA Urbanized Area (2010)",46128
3586,"Yuma, CO Urban Cluster (2010)",49055
3587,"Zanesville, OH Urban Cluster (2010)",36509
3588,"Zapata&Medina, TX Urban Cluster (2010)",32582
3589,"Zephyrhills, FL Urbanized Area (2010)",39947
3590,"Zimmerman, MN Urban Cluster (2010)",83131
3591,"Zumbrota, MN Urban Cluster (2010)",55850
3592,"Zuni Pueblo, NM Urban Cluster (2010)",37591
